kecamatan,kategori_emisi,rata_skor_emisi,kepadatan_jalan_km/km2,kepadatan_bangunan_m2/km2,persentase_area_hijau,latitude,longitude
Lumbir,0,,0.2554721175607872,0.020645964089634,11.949689035004411,-7.465614876229326,108.9753986040424
Gumelar,0,,0.2607984571384446,0.0171078567348669,11.706470675640578,-7.388696804690288,108.99652699358268
Wangon,0,,0.3313951023761258,0.0287997423122031,14.19717821659072,-7.512976403958786,109.0540979044978
Ajibarang,0,,0.2956791411504643,0.0238567780986839,14.867335806604888,-7.425407299803393,109.07287455816898
Pekuncen,0,,0.2606869826683007,0.0209006674549645,13.317513799257224,-7.348279776702072,109.08389768618964
Jatilawang,0,,0.2959445159251236,0.0262468039845305,17.63529139846438,-7.545220493022795,109.11224440539596
Purwojati,0,,0.2750113881593687,0.0258449361526551,16.99791481532503,-7.484512965093192,109.1085837606814
Cilongok,0,,0.2589998917884438,0.0195107994157284,14.568995043405003,-7.372588925925309,109.14942272630758
Rawalo,0,,0.2291254434995883,0.0178949620824791,15.119607717583769,-7.523231194076568,109.16436035103354
Patikraja,0,,0.3680019645739655,0.0283808089039772,11.816139177449903,-7.476948238987414,109.21262503608038
Karanglewas,0,,0.2529973821083743,0.0204664136530806,12.754916568066236,-7.396443601564333,109.18523038376368
Kebasen,0,,0.4517043411878467,0.0327115297696742,10.873596934904498,-7.546246993048108,109.22712274087064
Kedungbanteng,0,,0.2870171977521786,0.0241881735161454,11.348034659803906,-7.33664419150068,109.19974529935138
Purwokerto Barat,0,,0.3757090720046628,0.0289395574945419,13.730033392245897,-7.425059620778232,109.21365853458556
Baturraden,0,,0.6233072244793177,0.0498544141328723,10.23845663332654,-7.314987052671524,109.2250603416261
Purwokerto Selatan,0,,0.4216871915355663,0.0313903181824899,13.262922363668771,-7.446649570704233,109.2441513339698
Purwokerto Utara,0,,0.4153480062908455,0.0363975983234761,10.332163146933905,-7.402423379142108,109.24069114223262
Sumbang,0,,0.6418357939463751,0.0478641091530454,8.39396916444763,-7.340814513903035,109.26141259291066
Purwokerto Timur,0,,0.4340621413549022,0.0346578384883432,7.683727426339779,-7.419977813897992,109.24640431055543
Banyumas,0,,0.5111005750241637,0.0403595344025009,7.202292191003116,-7.532252001868407,109.27338509902634
Sokaraja,0,,0.6005353151850735,0.0423312612276969,6.942745972768943,-7.451131786589001,109.29133294551116
Kalibagor,0,,0.7608851036476078,0.0600218009211915,3.210214492612278,-7.4876955158375935,109.30435808562572
Kembaran,0,,0.4370331162174733,0.0304336199225575,5.140703832514356,-7.4131096986846226,109.28824984422616
Kemranjen,0,,0.3232935230579378,0.0288217885508737,8.997368829781575,-7.590802253426346,109.3083246851053
Somagede,0,,0.5760200725285713,0.0533997437602971,6.213621422945175,-7.525660104823221,109.34456410275004
Sumpiuh,0,,0.5327574163170504,0.0389547681331509,9.956177110336672,-7.595737131464088,109.36735020622424
Tambak,0,,0.5636023018245725,0.0406489571526355,9.543649515198316,-7.600925745778528,109.4094702088174
