kecamatan,kategori_emisi,rata_skor_emisi,kepadatan_jalan_km/km2,kepadatan_bangunan_m2/km2,persentase_area_hijau
Lumbir,0,,0.2554721175607872,0.020645964089634063,11.949689035004411
Gumelar,0,,0.2607984571384446,0.017107856734866984,11.706470675640578
Wangon,0,,0.33139510237612585,0.028799742312203183,14.19717821659072
Ajibarang,0,,0.2956791411504643,0.02385677809868395,14.867335806604887
Pekuncen,0,,0.2606869826683007,0.02090066745496451,13.317513799257224
Jatilawang,0,,0.2959445159251236,0.026246803984530533,17.63529139846438
Purwojati,0,,0.2750113881593687,0.025844936152655113,16.99791481532503
Cilongok,0,,0.2589998917884438,0.019510799415728405,14.568995043405003
Rawalo,0,,0.22912544349958835,0.01789496208247919,15.119607717583767
Patikraja,0,,0.3680019645739655,0.028380808903977216,11.816139177449903
Karanglewas,0,,0.25299738210837436,0.020466413653080648,12.754916568066237
Kebasen,0,,0.45170434118784675,0.03271152976967423,10.873596934904498
Kedungbanteng,0,,0.28701719775217865,0.024188173516145425,11.348034659803906
Purwokerto Barat,0,,0.37570907200466286,0.028939557494541943,13.730033392245897
Baturraden,0,,0.6233072244793177,0.049854414132872345,10.238456633326539
Purwokerto Selatan,0,,0.4216871915355663,0.031390318182489954,13.262922363668771
Purwokerto Utara,0,,0.41534800629084556,0.036397598323476166,10.332163146933905
Sumbang,0,,0.6418357939463751,0.0478641091530454,8.39396916444763
Purwokerto Timur,0,,0.4340621413549022,0.03465783848834327,7.683727426339779
Banyumas,0,,0.5111005750241637,0.040359534402500924,7.2022921910031155
Sokaraja,0,,0.6005353151850735,0.042331261227696995,6.942745972768943
Kalibagor,0,,0.7608851036476078,0.060021800921191554,3.210214492612278
Kembaran,0,,0.43703311621747337,0.030433619922557505,5.140703832514356
Kemranjen,0,,0.32329352305793785,0.028821788550873775,8.997368829781575
Somagede,0,,0.5760200725285713,0.05339974376029715,6.213621422945175
Sumpiuh,0,,0.5327574163170504,0.03895476813315097,9.956177110336672
Tambak,0,,0.5636023018245725,0.04064895715263556,9.543649515198316
